date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:51	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Apr%202021%2011:31:50%20GMT	http://108-2.dday.dschool.ntu.edu.tw/robots.txt		(from )
19:31:51	99264/99264	---M--	200	added ('OK')	text/html	etag:%22183c0-5b7bf0995c4c0%22	http://108-2.dday.dschool.ntu.edu.tw/	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/index.html	(from )
19:31:52	40719/40719	---M--	200	added ('OK')	text/css	etag:%229f0f-5b70a12d41c40%22	http://108-2.dday.dschool.ntu.edu.tw/files/main_style.css?1608628775	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/files/main_stylef57e.css	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:31:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Apr%202021%2011:31:53%20GMT	http://108-2.dday.dschool.ntu.edu.tw/uploads/1/3/1/8/131854549/background-images/91018499.jpeg	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/uploads/1/3/1/8/131854549/background-images/91018499.jpeg	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:31:54	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Apr%202021%2011:31:54%20GMT	http://108-2.dday.dschool.ntu.edu.tw/files/templateArtifacts.js?1608022884	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/files/templateArtifactsee3d.js	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:31:57	99264/99264	---M--	200	added ('OK')	text/html	etag:%22183c0-5b7bf0995c4c0%22	http://108-2.dday.dschool.ntu.edu.tw/index.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/index-2.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:31:58	95741/95741	---M--	200	added ('OK')	text/html	etag:%22175fd-5b7fe792b2480%22	http://108-2.dday.dschool.ntu.edu.tw/about-d-school.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/about-d-school.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:00	72150/72150	---M--	200	added ('OK')	text/html	etag:%22119d6-5b7bedaf96540%22	http://108-2.dday.dschool.ntu.edu.tw/d-day27511241803535237636.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/d-day27511241803535237636.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:02	62229/62229	---M--	200	added ('OK')	text/html	etag:%22f315-5b7bedacb9e80%22	http://108-2.dday.dschool.ntu.edu.tw/105-1.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/105-1.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:04	61989/61989	---M--	200	added ('OK')	text/html	etag:%22f225-5b7bedadae0c0%22	http://108-2.dday.dschool.ntu.edu.tw/105-2.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/105-2.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:06	61810/61810	---M--	200	added ('OK')	text/html	etag:%22f172-5b7bedadae0c0%22	http://108-2.dday.dschool.ntu.edu.tw/106-1.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/106-1.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:08	60998/60998	---M--	200	added ('OK')	text/html	etag:%22ee46-5b7bedadae0c0%22	http://108-2.dday.dschool.ntu.edu.tw/106-2.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/106-2.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:10	61864/61864	---M--	200	added ('OK')	text/html	etag:%22f1a8-5b7bedadae0c0%22	http://108-2.dday.dschool.ntu.edu.tw/107-1.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/107-1.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:12	61266/61266	---M--	200	added ('OK')	text/html	etag:%22ef52-5b7bedadae0c0%22	http://108-2.dday.dschool.ntu.edu.tw/107-2.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/107-2.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:14	63489/63489	---M--	200	added ('OK')	text/html	etag:%22f801-5b7bedadae0c0%22	http://108-2.dday.dschool.ntu.edu.tw/108-1.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/108-1.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
